configuration,marketing_label,type,saleable_area_sqft,carpet_area_sqft,sitout_deck_sqft,utility_area_sqft,external_wall_area_sqft,share_common_area_sqft,tower,unit_numbers,floors,source
Studio,1 RK / Studio,A1A,501,345,,,32,124,D,D0203–D1603,2 to 16,Official Nikoo Homes 8 page
1 Bed,1 BHK,B3,786,462,53,23,53,195,D,D0204–D1604,2 to 16,Official Nikoo Homes 8 page
1 Bed + Study,1.5 BHK,C1A,1088,661,54,31,72,270,D,D0205–D1605,2 to 16,Official Nikoo Homes 8 page
2 Bed,2 BHK,D1B,1165,725,54,26,71,289,E,E0002–E2402,Ground to 24,Official Nikoo Homes 8 page
2 Bed + Study,2.5 BHK,F1A,1371,876,54,30,71,340,E,E0005–E2405,Ground to 24,Official Nikoo Homes 8 page
3 Bed,3 BHK,G3,1730,1115,72,30,84,429,D,D0308–D1608,3 to 16,Official Nikoo Homes 8 page
3 Bed + Study,3.5 BHK,H1B,2006,1308,72,37,91,498,D,D0006–D1606,Ground to 16,Official Nikoo Homes 8 page
Loft,3 BHK Duplex / Loft,L1B,2132,1279,99,33,189,532,E,"E0307, E0507, E0707, E0907, E1107, E1307, E1507, E1707, E1907, E2107, E2307","3,5,7,9,11,13,15,17,19,21,23",Official Nikoo Homes 8 page
4 Bed + Staff,4 BHK,J1A,2506,1634,74,56,120,622,D,D0007–D1607,Ground to 16,Official Nikoo Homes 8 page
